,OBSERVATION COUNT,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION DATE
20,5,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-03
21,17,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-08
22,X,Alicante,Lagunas de la Mata y Torrevieja PNat--Observatorio La Mata Norte,380.340.240,-0.7130020,2019-04
23,1,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-05
24,11,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-05
25,20,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-07
26,10,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-07
27,23,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-07
28,10,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-07
29,20,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-07
30,30,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-07
31,10,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-07
32,10,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-07
33,X,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-07
34,30,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-07
35,17,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-10
36,10,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-05
37,X,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-11
38,X,Alicante,Lagunas de la Mata y Torrevieja PNat--Observatorio La Mata Norte,380.340.240,-0.7130020,2019-02
39,2,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-10
40,22,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2020-05
41,27,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2020-06
42,3,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2020-08
43,3,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2020-08
44,20,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2020-06
45,5,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2020-07
46,3,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2020-08
47,10,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2020-03
48,5,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2020-02
49,20,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2020-06
50,6,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2020-02
51,X,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2020-06
52,8,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2021-04
53,X,Alicante,Lagunas de la Mata y Torrevieja PNat--Laguna de Torrevieja,379.944.852,-0.7083263,2021-05
54,3,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2021-05
55,2,Alicante,Lagunas de la Mata y Torrevieja PNat--Observatorio Fumarel,380.444.453,-0.6944816,2021-05
56,3,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2021-07
57,3,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2021-07
58,5,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2021-07
59,6,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2021-10
60,6,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2021-10
61,2,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2021-11
62,2,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2021-11
63,2,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2022-03
64,X,Alicante,Lagunas de la Mata y Torrevieja PNat--Laguna de Torrevieja,379.944.852,-0.7083263,2022-09
65,1,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2022-03
66,3,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2022-01
67,X,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2022-04
68,4,Alicante,Lagunas de la Mata y Torrevieja PNat--Observatorio La Mata Norte,380.340.240,-0.7130020,2022-07
69,6,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2022-04
70,6,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2022-02
71,4,Alicante,Lagunas de la Mata y Torrevieja PNat--Observatorio La Mata Norte,380.340.240,-0.7130020,2022-07
72,1,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2022-04
73,X,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2022-03
74,1,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2022-06
75,2,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2022-11
76,6,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2022-07
77,6,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2022-07
78,1,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2022-08
79,16,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2022-09
80,16,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2022-09
81,25,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2022-01
82,2,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2022-10
